0 ScanConfig:Rd53aModule_height_20221006
-21.000  22.000 Jig
 21.000  22.000 Jig
 20.000 -22.000 Jig
-18.760 -22.000 Jig
  0.000 -21.000 Jig
 20.780  20.000 Asic
 20.780   5.000 Asic
 20.780  -5.000 Asic
 20.780 -20.000 Asic
 20.880 -20.000 Asic
 20.880  -5.000 Asic
 20.880   5.000 Asic
 20.880  -0.000 Asic
-19.400 -20.400 Sensor
-12.000 -20.400 Sensor
 -5.000 -20.400 Sensor
  5.000 -20.400 Sensor
 12.000 -20.400 Sensor
 19.500 -20.400 Sensor
 19.400  20.400 Sensor
 12.000  20.400 Sensor
  6.000  20.400 Sensor
 -6.000  20.400 Sensor
-12.000  20.400 Sensor
-19.500  20.400 Sensor
-13.600  15.000 Flex
-14.600 -18.000 Flex
 12.600 -18.000 Flex
 12.600  15.000 Flex
