,serial_number,tag,x,y
0,20UPGM22601022,AsicFmarkTL,-21.0145,20.841800000000003
1,20UPGM22601022,AsicFmarkTR,20.98135,20.8663
2,20UPGM22601022,AsicFmarkBL,-21.0223,-19.266
3,20UPGM22601022,AsicFmarkBR,20.995,-19.23035
4,20UPGM22601022,FmarkTL,-18.817,20.114500000000003
5,20UPGM22601022,FmarkTR,18.769350000000003,20.102800000000002
6,20UPGM22601022,FmarkBL,-18.811149999999998,-18.47185
7,20UPGM22601022,FmarkBR,,
8,20UPGM22601026,AsicFmarkTL,,
9,20UPGM22601026,AsicFmarkTR,20.8507,20.8273
10,20UPGM22601026,AsicFmarkBL,-20.927300000000002,-19.50585
11,20UPGM22601026,AsicFmarkBR,21.073,-19.269350000000003
12,20UPGM22601026,FmarkTL,-18.817,19.9858
13,20UPGM22601026,FmarkTR,18.744000000000003,20.036500000000004
14,20UPGM22601026,FmarkBL,-18.7858,-18.56935
15,20UPGM22601026,FmarkBR,18.788850000000004,-18.544
16,20UPGM22601027,AsicFmarkTL,-21.0833,20.6323
17,20UPGM22601027,AsicFmarkTR,20.92285,20.741500000000002
18,20UPGM22601027,AsicFmarkBL,-20.978,-19.4532
19,20UPGM22601027,AsicFmarkBR,21.006700000000002,-19.333700000000004
20,20UPGM22601027,FmarkTL,-18.855999999999998,19.9585
21,20UPGM22601027,FmarkTR,18.716700000000003,20.017000000000003
22,20UPGM22601027,FmarkBL,-18.7975,-18.58885
23,20UPGM22601027,FmarkBR,18.7635,-18.5362
24,20UPGM22601029,AsicFmarkTL,-21.229,20.549300000000002
25,20UPGM22601029,AsicFmarkTR,20.7727,20.891650000000002
26,20UPGM22601029,AsicFmarkBL,-20.9248,-19.5312
27,20UPGM22601029,AsicFmarkBR,21.07885,-19.191350000000003
28,20UPGM22601029,FmarkTL,-18.973,19.868800000000004
29,20UPGM22601029,FmarkTR,18.599700000000002,20.114500000000003
30,20UPGM22601029,FmarkBL,-18.7195,-18.7195
31,20UPGM22601029,FmarkBR,18.847350000000002,-18.4465
32,20UPGM22601030,AsicFmarkTL,-21.056,20.6518
33,20UPGM22601030,AsicFmarkTR,20.94235,20.741500000000002
34,20UPGM22601030,AsicFmarkBL,-20.991650000000003,-19.42785
35,20UPGM22601030,AsicFmarkBR,21.0145,-19.3532
36,20UPGM22601030,FmarkTL,-18.817,19.9585
37,20UPGM22601030,FmarkTR,18.749850000000002,19.991650000000003
38,20UPGM22601030,FmarkBL,-18.7858,-18.6025
39,20UPGM22601030,FmarkBR,18.794700000000002,-18.56935
40,20UPGM22601034,AsicFmarkTL,-21.0145,20.71115
41,20UPGM22601034,AsicFmarkTR,20.995,20.671300000000002
42,20UPGM22601034,AsicFmarkBL,-21.0613,-19.36935
43,20UPGM22601034,AsicFmarkBR,20.94235,-19.419500000000003
44,20UPGM22601034,FmarkTL,-18.766299999999998,19.9858
45,20UPGM22601034,FmarkTR,18.788850000000004,19.900000000000002
46,20UPGM22601034,FmarkBL,-18.20665,-18.37435
47,20UPGM22601034,FmarkBR,18.6777,-18.64735
48,20UPGM22601035,AsicFmarkTL,-21.10615,20.75015
49,20UPGM22601035,AsicFmarkTR,20.90335,20.741500000000002
50,20UPGM22601035,AsicFmarkBL,-21.1198,-19.33035
51,20UPGM22601035,AsicFmarkBR,20.883850000000002,-19.347350000000002
52,20UPGM22601035,FmarkTL,-18.8755,20.056
53,20UPGM22601035,FmarkTR,18.691350000000003,19.9858
