,SENSOR_X,SENSOR_Y,FECHIPS_X,FECHIPS_Y,FECHIP_THICKNESS,FECHIP_THICKNESS_STD_DEVIATION,BAREMODULE_THICKNESS,BAREMODULE_THICKNESS_STD_DEVIATION,SENSOR_THICKNESS,SENSOR_THICKNESS_STD_DEVIATION
20UPGB42302001,39.5,41.099,42.212,40.293,150.7,8.6,311.8,8.6,153.6,3.3
20UPGB42302002,39.5,41.096,42.207,40.298,153.7,5.3,315.9,3.7,178.4,47.1
20UPGB42302003,39.499,41.096,42.213,40.302,156.6,1.9,320.5,2.5,154.2,5.9
20UPGB42302004,39.5,41.095,42.219,40.292,157.1,2.7,319.7,2.5,153.7,3.9
20UPGB42302005,39.501,41.092,42.213,40.285,156.8,1.4,318.9,2.3,0.0,0.0
20UPGB42302006,39.499,41.093,42.217,40.295,158.9,4.9,320.8,5.5,158.2,2.9
20UPGB42302007,39.5,41.093,42.216,40.302,158.2,1.9,321.3,2.6,158.7,1.0
20UPGB42302008,39.5,41.096,42.209,40.289,154.8,2.1,320.7,1.8,150.9,6.2
20UPGB42302009,39.499,41.095,42.201,40.299,154.4,1.1,318.7,2.5,180.2,113.1
20UPGB42302010,39.501,41.095,42.205,40.299,155.1,1.1,319.5,2.0,155.6,4.8
20UPGB42302011,39.5,41.099,42.202,40.289,157.7,2.6,320.8,1.6,156.5,101.3
20UPGB42302012,39.501,41.096,42.213,40.289,157.3,1.5,320.5,2.0,166.1,14.0
20UPGB42302013,39.501,41.097,42.212,40.292,153.5,3.4,318.5,2.6,166.4,49.1
20UPGB42302014,39.501,41.096,42.209,40.296,157.0,2.4,320.7,3.5,153.9,3.7
20UPGB42302015,39.499,41.089,42.221,40.295,155.9,1.5,321.0,2.2,148.4,51.3
20UPGB42302016,39.5,41.095,42.216,40.293,155.8,1.6,319.7,1.6,152.9,5.8
20UPGB42302017,39.498,41.096,42.209,40.301,154.8,1.4,319.5,1.8,153.5,2.1
20UPGB42302018,39.501,41.095,42.22,40.289,155.0,1.9,319.3,2.3,158.8,99.7
20UPGB42302019,39.502,41.098,42.219,40.289,154.1,2.3,317.5,2.8,163.6,13.2
20UPGB42302023,39.5,41.096,42.216,40.289,155.7,1.7,318.7,1.9,155.5,2.9
20UPGB42302024,39.577,41.097,42.217,40.292,151.7,3.8,315.6,3.6,0.0,0.0
20UPGB42302025,39.501,41.097,42.217,40.299,160.0,2.5,321.1,2.6,168.1,11.9
20UPGB42302026,39.5,41.097,42.215,40.285,156.9,2.8,319.3,2.8,158.5,14.0
20UPGB42302027,39.501,41.085,42.246,40.299,157.6,1.2,321.3,2.3,156.8,3.0
20UPGB42302028,39.498,41.099,42.21,40.292,157.7,2.9,319.4,2.2,152.1,9.4
20UPGB42303001,39.502,41.093,42.217,40.282,153.3,3.3,318.2,3.9,159.6,3.3
20UPGB42303002,39.5,41.096,42.21,40.294,158.7,2.7,321.0,3.5,151.7,72.2
20UPGB42303003,39.501,41.098,42.21,40.296,157.6,1.9,320.7,2.9,157.3,2.1
20UPGB42303004,39.501,41.096,42.211,40.289,153.0,3.9,318.2,3.2,157.3,4.1
20UPGB42303005,39.5,41.096,42.209,40.292,155.2,2.7,319.8,3.3,160.0,14.6
20UPGB42303006,39.499,41.1,42.204,40.289,156.2,2.7,319.1,2.6,146.2,11.2
20UPGB42303007,39.5,41.097,42.205,40.299,156.1,1.2,318.4,1.6,157.3,1.9
20UPGB42303008,39.501,41.098,42.21,40.296,157.4,1.8,319.8,2.5,157.8,14.1
20UPGB42303009,39.5,41.096,42.211,40.295,155.7,1.7,319.4,2.3,150.3,10.8
20UPGB42303010,39.5,41.097,42.204,40.289,156.6,1.8,320.2,2.1,157.2,2.4
20UPGB42303011,39.502,41.095,42.209,40.286,156.5,2.5,318.6,2.8,150.5,7.8
20UPGB42303012,39.501,41.1,42.202,40.293,155.4,2.3,317.9,2.6,154.6,4.5
20UPGB42303013,39.501,41.097,42.199,40.298,155.0,1.0,319.5,2.8,173.8,49.5
20UPGB42303014,39.499,41.095,42.198,40.293,150.5,8.3,312.2,7.4,152.5,4.8
20UPGB42303015,39.501,41.095,42.212,40.283,157.6,2.5,323.0,3.3,174.0,18.4
20UPGB42303016,39.5,41.092,42.211,40.293,146.9,13.1,314.5,12.0,154.1,7.9
20UPGB42303017,39.493,41.093,42.217,40.278,156.8,2.6,320.9,2.5,159.8,3.3
20UPGB42303018,39.499,41.095,42.215,40.29,158.8,3.7,322.9,2.4,171.5,12.3
20UPGB42303019,39.499,41.094,42.206,40.288,148.5,11.0,313.6,9.6,158.5,99.1
20UPGB42303020,39.499,41.095,42.203,40.293,158.2,5.3,321.5,3.6,150.1,7.2
