,X_DIMENSION,Y_DIMENSION,AVERAGE_THICKNESS_FECHIP_PICKUP_AREAS,STD_DEVIATION_THICKNESS_FECHIP_PICKUP_AREAS,HV_CAPACITOR_THICKNESS,AVERAGE_THICKNESS_POWER_CONNECTOR,DIAMETER_DOWEL_HOLE_A,WIDTH_DOWEL_SLOT_B
20UPGPQ2601013,39.574,40.338,0.211,0.002,0.0,0.0,3.013,3.062
20UPGPQ2601014,39.571,40.338,0.211,0.001,0.0,0.0,3.043,3.064
20UPGPQ2601015,39.563,40.341,0.21,0.002,0.0,0.0,3.011,3.02
20UPGPQ2601016,39.566,40.347,0.213,0.004,0.0,0.0,3.056,3.6
20UPGPQ2601020,39.562,40.358,0.214,0.001,0.0,0.0,3.055,3.052
20UPGPQ2601021,39.572,40.352,0.213,0.003,0.0,0.0,3.002,2.88
20UPGPQ2601022,39.566,40.353,0.213,0.002,0.0,0.0,3.011,3.056
20UPGPQ2601023,39.562,40.356,0.214,0.002,0.0,0.0,3.05,2.9
20UPGPQ2601024,39.564,40.356,0.217,0.001,0.0,0.0,3.014,3.06
20UPGPQ2601025,39.559,40.345,0.21,0.002,0.0,0.0,2.99,3.062
20UPGPQ2601026,39.565,40.343,0.209,0.002,0.0,0.0,3.055,3.066
20UPGPQ2601027,39.562,40.344,0.207,0.002,0.0,0.0,3.065,3.064
20UPGPQ2601028,39.589,40.356,0.211,0.002,1.876,1.537,3.062,3.06
20UPGPQ2601029,39.57,40.353,0.209,0.001,0.0,0.0,2.962,3.06
20UPGPQ2601030,39.564,40.352,0.209,0.001,0.0,0.0,3.061,3.062
20UPGPQ2601031,39.56,40.355,0.209,0.002,0.0,0.0,3.038,3.056
20UPGPQ2601032,39.565,40.352,0.212,0.001,0.0,0.0,3.051,3.066
20UPGPQ2601033,39.563,40.394,0.213,0.002,0.0,0.0,3.013,3.056
20UPGPQ2601034,39.564,40.478,0.208,0.002,0.0,0.0,3.016,3.06
20UPGPQ2601035,39.558,40.481,0.21,0.001,0.0,0.0,3.054,3.064
20UPGPQ2601036,39.57,40.489,0.211,0.002,0.0,0.0,3.056,3.06
20UPGPQ2601037,39.568,40.349,0.211,0.002,0.0,0.0,2.999,3.2
20UPGPQ2601038,39.57,40.479,0.211,0.001,0.0,0.0,3.016,3.058
20UPGPQ2601039,39.55,40.333,0.212,0.002,1.864,1.527,3.014,3.2
20UPGPQ2601041,39.568,40.45,0.211,0.001,1.927,1.534,3.028,3.062
20UPGPQ2601042,39.565,40.347,0.21,0.002,1.862,1.541,3.055,3.056
20UPGPQ2601044,39.554,40.347,0.211,0.002,1.941,1.537,3.059,3.06
20UPGPQ2601045,39.566,40.338,0.211,0.001,1.882,1.569,3.056,3.14
20UPGPQ2601046,39.564,40.373,0.211,0.003,1.909,1.534,3.054,3.05
20UPGPQ2601047,39.559,40.344,0.226,0.012,1.942,1.517,3.056,3.066
20UPGPQ2601048,39.557,40.399,0.213,0.002,1.884,1.536,3.025,3.34
20UPGPQ2601049,39.565,40.454,0.208,0.002,1.944,1.542,3.025,3.022
20UPGPQ2601050,39.565,40.336,0.211,0.001,1.87,1.524,3.059,3.068
20UPGPQ2601051,39.562,40.34,0.212,0.001,1.87,1.556,3.027,3.06
20UPGPQ2601052,39.565,40.338,0.215,0.002,1.867,1.536,3.026,3.09
20UPGPQ2601053,39.577,40.358,0.208,0.002,1.848,1.507,3.01,3.036
20UPGPQ2601054,39.559,40.358,0.21,0.002,1.941,1.522,3.059,3.08
20UPGPQ2601055,39.562,40.349,0.21,0.003,1.942,1.531,3.06,3.08
20UPGPQ2601056,39.559,40.353,0.213,0.003,1.936,1.518,3.06,3.068
20UPGPQ2601057,39.572,40.488,0.209,0.001,1.925,1.517,3.059,3.062
20UPGPQ2601058,39.567,40.343,0.212,0.001,1.867,1.508,3.057,3.06
20UPGPQ2601059,39.556,40.336,0.211,0.002,1.933,1.526,3.058,3.066
20UPGPQ2601060,39.558,40.342,0.215,0.002,1.93,1.518,3.056,3.056
