,SENSOR_X,0,SENSOR_Y,0,FECHIPS_X,FECHIPS_Y,0,FECHIP_THICKNESS,0,BAREMODULE_THICKNESS,SENSOR_THICKNESS,0
0,20UPGB42399001,39.494737219295125,20UPGB42306005,41.09,,20UPGB42399001,40.23987243373623,20UPGB42399001,311.3762969435005,,20UPGB42399001,0.0
1,20UPGB42399002,39.49472281301381,20UPGB42303010,41.097,,20UPGB42399002,40.20358292261819,20UPGB42399002,311.6321859057998,,20UPGB42399002,0.0
2,20UPGB42399003,39.49445089888209,20UPGB42302015,41.089,,20UPGB42399003,40.2402867215847,20UPGB42399003,308.8828065340916,,20UPGB42399003,0.0
3,20UPGB42302015,39.499,20UPGB42305006,41.093,,,,20UPGB42305019,1.6,,20UPGB42305006,207.8
4,20UPGB42305024,39.497,20UPGB42305024,41.096,,,,,,,20UPGB42305024,135.7
5,20UPGB42303028,39.499,20UPGB42304008,41.094,,,,,,,20UPGB42305004,320.3
6,20UPGB42302009,39.499,20UPGB42302004,41.095,,,,,,,20UPGB42303028,238.1
7,20UPGB42303019,39.499,20UPGB42302013,41.097,,,,,,,20UPGB42304003,247.7
8,20UPGB42303017,39.493,20UPGB42303001,41.093,,,,,,,20UPGB42306012,203.6
9,20UPGB42302003,39.499,20UPGB42306008,41.091,,,,,,,20UPGB42302024,0.0
10,20UPGB42304003,39.499,20UPGB42303005,41.096,,,,,,,20UPGB42306002,209.3
11,20UPGB42303014,39.499,20UPGB42306009,41.094,,,,,,,20UPGB42302005,0.0
12,20UPGB42306012,39.499,20UPGB42303011,41.095,,,,,,,,
13,20UPGB42302024,39.577,20UPGB42305004,41.091,,,,,,,,
14,20UPGB42304004,39.498,20UPGB42302007,41.093,,,,,,,,
15,20UPGB42303021,39.499,20UPGB42306006,41.092,,,,,,,,
16,20UPGB42303020,39.499,20UPGB42303009,41.096,,,,,,,,
17,20UPGB42305026,39.499,20UPGB42303028,41.098,,,,,,,,
18,20UPGB42303006,39.499,20UPGB42302018,41.095,,,,,,,,
19,20UPGB42305014,39.499,20UPGB42303026,41.099,,,,,,,,
20,20UPGB42305013,39.499,20UPGB42304006,41.095,,,,,,,,
21,20UPGB42304005,39.497,20UPGB42305025,41.095,,,,,,,,
22,20UPGB42302028,39.498,20UPGB42305002,41.092,,,,,,,,
23,20UPGB42302017,39.498,20UPGB42306010,41.096,,,,,,,,
24,20UPGB42303018,39.499,20UPGB42305017,41.094,,,,,,,,
25,20UPGB42302006,39.499,20UPGB42302009,41.095,,,,,,,,
26,,,20UPGB42302023,41.096,,,,,,,,
27,,,20UPGB42303003,41.098,,,,,,,,
28,,,20UPGB42303019,41.094,,,,,,,,
29,,,20UPGB42302025,41.097,,,,,,,,
30,,,20UPGB42306011,41.091,,,,,,,,
31,,,20UPGB42305005,41.089,,,,,,,,
32,,,20UPGB42305018,41.097,,,,,,,,
