,PCB_BAREMODULE_POSITION_TOP_RIGHT,0,PCB_BAREMODULE_POSITION_TOP_RIGHT,0,PCB_BAREMODULE_POSITION_BOTTOM_LEFT,0,PCB_BAREMODULE_POSITION_BOTTOM_LEFT,0
0,20UPGM22601026,2.094999999999999,20UPGM22601061,0.0,20UPGM22601061,0.0,20UPGM22601026,0.9501500000000007
1,20UPGM22601061,0.0,20UPGM22601139,0.0,20UPGM22601139,0.0,20UPGM22601027,0.8643499999999982
2,20UPGM22601139,0.0,,,20UPGM22601148,0.0,20UPGM22601046,0.8975000000000009
3,,,,,,,20UPGM22601049,0.87
4,,,,,,,20UPGM22601061,0.0
5,,,,,,,20UPGM22601139,0.0
6,,,,,,,20UPGM22601148,0.0
7,,,,,,,20UPGM22601052,0.884
8,,,,,,,20UPGM22601024,0.9442999999999984
9,,,,,,,20UPGM22601044,0.8526500000000006
10,,,,,,,20UPGM22601063,0.851
11,,,,,,,20UPGM22601075,0.859
12,,,,,,,20UPGM22601080,0.87
13,,,,,,,20UPGM22601086,0.851
14,,,,,,,20UPGM22601099,0.859
15,,,,,,,20UPGM22601114,0.853
16,,,,,,,20UPGM22601098,0.853
