,X_DIMENSION,0,Y_DIMENSION,0,AVERAGE_THICKNESS_FECHIP_PICKUP_AREAS,AVERAGE_THICKNESS_POWER_CONNECTOR,0,HV_CAPACITOR_THICKNESS,0,DIAMETER_DOWEL_HOLE_A,0,WIDTH_DOWEL_SLOT_B,0
0,20UPGPQ2601091,39.49,20UPGPQ2601089,40.639,,20UPGPQ2601080,1.509,20UPGPQ2601159,10.992,20UPGPQ2601144,0.137,20UPGPQ2601048,3.34
1,20UPGPQ2601064,39.714,,,,20UPGPQ2601106,1.52,20UPGPQ2601020,0.0,20UPGPQ2601025,2.99,20UPGPQ2601166,3.196
2,20UPGPQ2601089,39.762,,,,20UPGPQ2601053,1.507,20UPGPQ2601022,0.0,20UPGPQ2601029,2.962,20UPGPQ2601083,2.8
3,20UPGPQ2601115,39.711,,,,20UPGPQ2601136,1.515,20UPGPQ2601024,0.0,20UPGPQ2601037,2.999,20UPGPQ2601039,3.2
4,,,,,,20UPGPQ2601057,1.517,20UPGPQ2601025,0.0,,,20UPGPQ2601119,3.14
5,,,,,,20UPGPQ2601073,1.517,20UPGPQ2601023,0.0,,,20UPGPQ2601164,16.2
6,,,,,,20UPGPQ2601123,1.52,20UPGPQ2601021,0.0,,,20UPGPQ2601085,2.8
7,,,,,,20UPGPQ2601144,3.661,20UPGPQ2601013,0.0,,,20UPGPQ2601127,3.2
8,,,,,,20UPGPQ2601060,1.518,20UPGPQ2601027,0.0,,,20UPGPQ2601075,2.8
9,,,,,,20UPGPQ2601056,1.518,20UPGPQ2601032,0.0,,,20UPGPQ2601067,2.838
10,,,,,,20UPGPQ2601084,1.513,20UPGPQ2601108,0.0,,,20UPGPQ2601045,3.14
11,,,,,,20UPGPQ2601047,1.517,20UPGPQ2601014,0.0,,,20UPGPQ2601142,3.14
12,,,,,,20UPGPQ2601058,1.508,20UPGPQ2601015,0.0,,,20UPGPQ2601070,3.2
13,,,,,,20UPGPQ2601130,1.517,20UPGPQ2601016,0.0,,,20UPGPQ2601081,3.18
14,,,,,,20UPGPQ2601121,1.518,20UPGPQ2601026,0.0,,,20UPGPQ2601074,2.952
15,,,,,,20UPGPQ2601098,1.513,20UPGPQ2601029,0.0,,,20UPGPQ2601061,3.14
16,,,,,,20UPGPQ2601020,0.0,20UPGPQ2601030,0.0,,,20UPGPQ2601023,2.9
17,,,,,,20UPGPQ2601022,0.0,20UPGPQ2601031,0.0,,,20UPGPQ2601021,2.88
18,,,,,,20UPGPQ2601024,0.0,20UPGPQ2601033,0.0,,,20UPGPQ2601016,3.6
19,,,,,,20UPGPQ2601025,0.0,20UPGPQ2601034,0.0,,,20UPGPQ2601037,3.2
20,,,,,,20UPGPQ2601023,0.0,20UPGPQ2601035,0.0,,,,
21,,,,,,20UPGPQ2601021,0.0,20UPGPQ2601036,0.0,,,,
22,,,,,,20UPGPQ2601013,0.0,20UPGPQ2601037,0.0,,,,
23,,,,,,20UPGPQ2601027,0.0,20UPGPQ2601038,0.0,,,,
24,,,,,,20UPGPQ2601032,0.0,20UPGPQ2601183,0.0,,,,
25,,,,,,20UPGPQ2601108,0.0,,,,,,
26,,,,,,20UPGPQ2601014,0.0,,,,,,
27,,,,,,20UPGPQ2601015,0.0,,,,,,
28,,,,,,20UPGPQ2601016,0.0,,,,,,
29,,,,,,20UPGPQ2601026,0.0,,,,,,
30,,,,,,20UPGPQ2601029,0.0,,,,,,
31,,,,,,20UPGPQ2601030,0.0,,,,,,
32,,,,,,20UPGPQ2601031,0.0,,,,,,
33,,,,,,20UPGPQ2601033,0.0,,,,,,
34,,,,,,20UPGPQ2601034,0.0,,,,,,
35,,,,,,20UPGPQ2601035,0.0,,,,,,
36,,,,,,20UPGPQ2601036,0.0,,,,,,
37,,,,,,20UPGPQ2601037,0.0,,,,,,
38,,,,,,20UPGPQ2601038,0.0,,,,,,
39,,,,,,20UPGPQ2601148,1.519,,,,,,
40,,,,,,20UPGPQ2601172,1.519,,,,,,
41,,,,,,20UPGPQ2601183,0.0,,,,,,
