,serial_number,qc_stage,scan_num,tags,valueType,values
0,20UPGM22601092,UNKNOWN,011,AsicX,size,42.20688805818343
1,20UPGM22601092,UNKNOWN,011,SensorY,size,41.10628545901802
2,20UPGM22601092,UNKNOWN,011,PGTX,size,40.55081339138976
3,20UPGM22601092,UNKNOWN,011,PGTY,size,40.511829706807546
4,20UPGM22601092,UNKNOWN,011,AsicToPGTL,size,0.8388391778901382
5,20UPGM22601092,UNKNOWN,011,AsicToPGTR,size,0.8172324807027391
6,20UPGM22601092,UNKNOWN,011,SensorToPGTT,size,0.276211477978609
7,20UPGM22601092,UNKNOWN,011,SensorToPGTB,size,0.31821708235231305
8,20UPGM22601092,UNKNOWN,011,AngleL,size,0.004729299151503776
9,20UPGM22601092,UNKNOWN,011,AngleR,size,0.016295148336197794
10,20UPGM22601092,UNKNOWN,011,AngleT,size,90.05649937747775
11,20UPGM22601092,UNKNOWN,011,AngleB,size,90.05639620722496
12,20UPGM22601092,UNKNOWN,011,AsicL,detect_x,-21.020155
13,20UPGM22601092,UNKNOWN,011,AsicL,detect_y,20.835525
14,20UPGM22601092,UNKNOWN,011,AsicL,detect_x,-21.0368275
15,20UPGM22601092,UNKNOWN,011,AsicL,detect_y,10.679525000000002
16,20UPGM22601092,UNKNOWN,011,AsicL,detect_x,-21.0500875
17,20UPGM22601092,UNKNOWN,011,AsicL,detect_y,0.933025
18,20UPGM22601092,UNKNOWN,011,AsicL,detect_x,-21.04765
19,20UPGM22601092,UNKNOWN,011,AsicL,detect_y,-9.183
20,20UPGM22601092,UNKNOWN,011,AsicL,detect_x,-21.054475
21,20UPGM22601092,UNKNOWN,011,AsicL,detect_y,-19.203475
22,20UPGM22601092,UNKNOWN,011,AsicR,detect_x,21.151257500000003
23,20UPGM22601092,UNKNOWN,011,AsicR,detect_y,-19.037725000000002
24,20UPGM22601092,UNKNOWN,011,AsicR,detect_x,21.15857
25,20UPGM22601092,UNKNOWN,011,AsicR,detect_y,-9.281475
26,20UPGM22601092,UNKNOWN,011,AsicR,detect_x,21.161105000000003
27,20UPGM22601092,UNKNOWN,011,AsicR,detect_y,0.6015250000000001
28,20UPGM22601092,UNKNOWN,011,AsicR,detect_x,21.168905000000002
