,serial_number,qc_stage,scan_num,tags,valueType,values
0,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_x,-21.12565
1,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_y,-18.6922
2,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_x,-21.139300000000002
3,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_y,-9.922
4,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_x,-21.112000000000002
5,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_y,9.97465
6,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_x,-21.12565
7,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,detect_y,19.5663
8,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_x,21.073
9,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_y,19.5273
10,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_x,21.0652
11,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_y,5.197500000000001
12,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_x,21.073
13,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_y,-9.861
14,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_x,21.07885
15,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,detect_y,-18.483
16,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_x,-18.0468
17,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_y,21.234
18,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_x,-10.381775
19,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_y,21.2280525
20,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_x,9.8557
21,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_y,21.234
22,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_x,17.9805
23,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,detect_y,21.234
24,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_x,17.474474999999998
25,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_y,-19.85912
26,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_x,11.091225
27,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_y,-19.8637025
28,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_x,-8.908775
29,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_y,-19.864092499999998
30,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_x,-18.260025000000002
31,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,detect_y,-19.8660425
32,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_x,-18.508775
33,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_y,20.8892125
34,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_x,-10.508775
35,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_y,20.881705
36,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_x,10.491225
37,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_y,20.8864825
38,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_x,18.900725
39,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,detect_y,20.904325
40,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_x,18.078975
41,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_y,-19.4673
42,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_x,10.108225
43,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_y,-19.462425
44,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_x,-10.135525
45,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_y,-19.4712
46,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_x,-17.930775
47,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,detect_y,-19.481340000000003
48,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_x,-19.836800000000004
49,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_y,-18.392200000000003
50,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_x,-19.82666
51,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_y,-5.0912250000000006
52,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_x,-19.822565
53,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_y,9.908775
54,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_x,-19.836800000000004
55,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,detect_y,18.660999999999998
56,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_x,19.7662725
57,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_y,18.981775
58,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_x,19.7395575
59,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_y,10.708775000000001
60,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_x,19.7411175
61,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_y,-10.691225000000001
62,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_x,19.75935
63,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,detect_y,-18.458199999999998
64,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkTL,detect_x,-18.83455
65,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkTL,detect_y,19.997500000000002
66,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkBL,detect_x,-18.828699999999998
67,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkBL,detect_y,-18.5713
68,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkBR,detect_x,18.7401
69,20UPGM22601022,MODULE_ASSEMBLY,009,FmarkBR,detect_y,-18.563499999999998
