tags,serial_number,x,y,z,imagePath
AsicFmarkBL,20UPGM22101021,1,1,1,1
AsicFmarkBL,20UPGM22110427,1,1,1,1
AsicFmarkBL,20UPGM22601015,1,1,1,1
AsicFmarkBL,20UPGM22601016,1,1,1,1
AsicFmarkBL,20UPGM22601020,1,1,1,1
AsicFmarkBL,20UPGM22601021,1,1,1,1
AsicFmarkBR,20UPGM22101021,1,1,1,1
AsicFmarkBR,20UPGM22110427,1,1,1,1
AsicFmarkBR,20UPGM22601015,1,1,1,1
AsicFmarkBR,20UPGM22601016,1,1,1,1
AsicFmarkBR,20UPGM22601020,1,1,1,1
AsicFmarkBR,20UPGM22601021,1,1,1,1
AsicFmarkTL,20UPGM22101021,1,1,1,1
AsicFmarkTL,20UPGM22110427,1,1,1,1
AsicFmarkTL,20UPGM22601015,1,1,1,1
AsicFmarkTL,20UPGM22601016,1,1,1,1
AsicFmarkTL,20UPGM22601020,1,1,1,1
AsicFmarkTL,20UPGM22601021,1,1,1,1
AsicFmarkTR,20UPGM22101021,1,1,1,1
AsicFmarkTR,20UPGM22110427,1,1,1,1
AsicFmarkTR,20UPGM22601015,1,1,1,1
AsicFmarkTR,20UPGM22601016,1,1,1,1
AsicFmarkTR,20UPGM22601020,1,1,1,1
AsicFmarkTR,20UPGM22601021,1,1,1,1
AsicL,20UPGM22101021,4,4,4,4
AsicL,20UPGM22110427,4,4,4,4
AsicL,20UPGM22601015,4,4,4,4
AsicL,20UPGM22601016,4,4,4,4
AsicL,20UPGM22601020,4,4,4,4
AsicL,20UPGM22601021,4,4,4,4
AsicR,20UPGM22101021,4,4,4,4
AsicR,20UPGM22110427,4,4,4,4
AsicR,20UPGM22601015,4,4,4,4
AsicR,20UPGM22601016,4,4,4,4
AsicR,20UPGM22601020,4,4,4,4
AsicR,20UPGM22601021,4,4,4,4
Connector,20UPGM22101021,3,3,3,3
Connector,20UPGM22110427,3,3,3,3
Connector,20UPGM22601015,3,3,3,3
Connector,20UPGM22601016,3,3,3,3
Connector,20UPGM22601020,3,3,3,3
Connector,20UPGM22601021,3,3,3,3
FlexB,20UPGM22101021,4,4,4,4
FlexB,20UPGM22110427,4,4,4,4
FlexB,20UPGM22601015,4,4,4,4
FlexB,20UPGM22601016,4,4,4,4
FlexB,20UPGM22601020,4,4,4,4
FlexB,20UPGM22601021,4,4,4,4
FlexL,20UPGM22101021,4,4,4,4
FlexL,20UPGM22110427,4,4,4,4
FlexL,20UPGM22601015,4,4,4,4
FlexL,20UPGM22601016,4,4,4,4
FlexL,20UPGM22601020,4,4,4,4
FlexL,20UPGM22601021,4,4,4,4
FlexR,20UPGM22101021,4,4,4,4
FlexR,20UPGM22110427,4,4,4,4
FlexR,20UPGM22601015,4,4,4,4
FlexR,20UPGM22601016,4,4,4,4
FlexR,20UPGM22601020,4,4,4,4
FlexR,20UPGM22601021,4,4,4,4
FlexT,20UPGM22101021,4,4,4,4
FlexT,20UPGM22110427,4,4,4,4
FlexT,20UPGM22601015,4,4,4,4
FlexT,20UPGM22601016,4,4,4,4
FlexT,20UPGM22601020,4,4,4,4
FlexT,20UPGM22601021,4,4,4,4
FmarkBL,20UPGM22101021,1,1,1,1
FmarkBL,20UPGM22110427,1,1,1,1
FmarkBL,20UPGM22601015,1,1,1,1
FmarkBL,20UPGM22601016,1,1,1,1
FmarkBL,20UPGM22601020,1,1,1,1
FmarkBL,20UPGM22601021,1,1,1,1
FmarkBR,20UPGM22101021,1,1,1,1
FmarkBR,20UPGM22110427,1,1,1,1
FmarkBR,20UPGM22601015,1,1,1,1
FmarkBR,20UPGM22601016,1,1,1,1
FmarkBR,20UPGM22601020,1,1,1,1
FmarkBR,20UPGM22601021,1,1,1,1
FmarkTL,20UPGM22101021,1,1,1,1
FmarkTL,20UPGM22110427,1,1,1,1
FmarkTL,20UPGM22601015,1,1,1,1
FmarkTL,20UPGM22601016,1,1,1,1
FmarkTL,20UPGM22601020,1,1,1,1
FmarkTL,20UPGM22601021,1,1,1,1
FmarkTR,20UPGM22101021,1,1,1,1
FmarkTR,20UPGM22110427,1,1,1,1
FmarkTR,20UPGM22601015,1,1,1,1
FmarkTR,20UPGM22601016,1,1,1,1
FmarkTR,20UPGM22601020,1,1,1,1
FmarkTR,20UPGM22601021,1,1,1,1
HVCapacitor,20UPGM22101021,5,5,5,5
HVCapacitor,20UPGM22110427,5,5,5,5
HVCapacitor,20UPGM22601015,5,5,5,5
HVCapacitor,20UPGM22601016,5,5,5,5
HVCapacitor,20UPGM22601020,5,5,5,5
HVCapacitor,20UPGM22601021,5,5,5,5
JJig,20UPGM22110427,1,1,1,1
JJig,20UPGM22601015,1,1,1,1
JJig,20UPGM22601016,1,1,1,1
JJig,20UPGM22601020,1,1,1,1
JJig,20UPGM22601021,1,1,1,1
Jig,20UPGM22101021,4,4,4,4
Jig,20UPGM22110427,3,3,3,3
Jig,20UPGM22601015,3,3,3,3
Jig,20UPGM22601016,3,3,3,3
Jig,20UPGM22601020,3,3,3,3
Jig,20UPGM22601021,3,3,3,3
Pickup1,20UPGM22101021,1,1,1,1
Pickup1,20UPGM22110427,1,1,1,1
Pickup1,20UPGM22601015,1,1,1,1
Pickup1,20UPGM22601016,1,1,1,1
Pickup1,20UPGM22601020,1,1,1,1
Pickup1,20UPGM22601021,1,1,1,1
Pickup2,20UPGM22101021,1,1,1,1
Pickup2,20UPGM22110427,1,1,1,1
Pickup2,20UPGM22601015,1,1,1,1
Pickup2,20UPGM22601016,1,1,1,1
Pickup2,20UPGM22601020,1,1,1,1
Pickup2,20UPGM22601021,1,1,1,1
Pickup3,20UPGM22101021,1,1,1,1
Pickup3,20UPGM22110427,1,1,1,1
Pickup3,20UPGM22601015,1,1,1,1
Pickup3,20UPGM22601016,1,1,1,1
Pickup3,20UPGM22601020,1,1,1,1
Pickup3,20UPGM22601021,1,1,1,1
Pickup4,20UPGM22101021,1,1,1,1
Pickup4,20UPGM22110427,1,1,1,1
Pickup4,20UPGM22601015,1,1,1,1
Pickup4,20UPGM22601016,1,1,1,1
Pickup4,20UPGM22601020,1,1,1,1
Pickup4,20UPGM22601021,1,1,1,1
SensorB,20UPGM22101021,4,4,4,4
SensorB,20UPGM22110427,4,4,4,4
SensorB,20UPGM22601015,4,4,4,4
SensorB,20UPGM22601016,4,4,4,4
SensorB,20UPGM22601020,4,4,4,4
SensorB,20UPGM22601021,4,4,4,4
SensorT,20UPGM22101021,4,4,4,4
SensorT,20UPGM22110427,4,4,4,4
SensorT,20UPGM22601015,4,4,4,4
SensorT,20UPGM22601016,4,4,4,4
SensorT,20UPGM22601020,4,4,4,4
SensorT,20UPGM22601021,4,4,4,4
