,serial_number,qc_stage,scan_num,scan_z,tags,image_path,delta_x,delta_y,margin
0,20UPGM22601039,MODULE_ASSEMBLY,001,8.016995999999999,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16967.jpg,0.1872000000000007,0.033149999999999125,0.19011249958905965
1,20UPGM22601074,MODULE_ASSEMBLY,002,8.015796000000002,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601074/ASSEMBLY/Module_20UPGM22601074_ASSEMBLY_PreProduction_Size_Front/Img36773.jpg,0.1872000000000007,-0.005849999999998801,0.1872913839449115
2,20UPGM22601073,MODULE_ASSEMBLY,001,8.011095999999998,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601073/ASSEMBLY/Module_20UPGM22601073_ASSEMBLY_PreProduction_Size_Front/Img34167.jpg,0.1872000000000007,0.03900000000000148,0.19121935048524868
3,20UPGM22601052,MODULE_ASSEMBLY,002,8.024496,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601052/ASSEMBLY/Module_20UPGM22601052_ASSEMBLY_PreProduction_Size_Front/Img22158.jpg,0.20670000000000144,0.027300000000000324,0.20849503591213056
4,20UPGM22601016,MODULE_ASSEMBLY,002,8.014696000000004,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601016/ASSEMBLY/20UPGM22601016_Assembly_Metrology_Size_-1/Img8076.jpg,0.22619999999999862,0.027300000000000324,0.22784145803606373
5,20UPGM22601026,MODULE_ASSEMBLY,002,8.016095999999997,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601026/ASSEMBLY/Module_20UPGM22601026_ASSEMBLY_PreProduction_Size_Front_2/Img11877.jpg,0.2729999999999997,0.13064999999999927,0.3026523128938545
6,20UPGM22601065,MODULE_ASSEMBLY,004,8.015595999999999,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601065/ASSEMBLY/Module_20UPGM22601065_ASSEMBLY_PreProduction_Size_Front/Img28419.jpg,0.19500000000000028,0.04680000000000106,0.2005373780620466
7,20UPGM22601042,MODULE_ASSEMBLY,003,8.012796000000002,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601042/ASSEMBLY/Module_20UPGM22601042_ASSEMBLY_PreProduction_Size_Front_4/Img35464.jpg,0.2983499999999992,0.21450000000000102,0.36745472170051097
8,20UPGM22601020,MODULE_ASSEMBLY,003,8.025595999999998,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601020/ASSEMBLY/Module_20UPGM22601020_ASSEMBLY_Size/Img9365.jpg,0.20670000000000144,-0.03119999999999834,0.20904145521881656
9,20UPGM22601047,MODULE_ASSEMBLY,002,8.015095999999998,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601047/ASSEMBLY/Module_20UPGM22601047_ASSEMBLY_PreProduction_Size_Front_1/Img35902.jpg,0.011700000000001154,0.033149999999999125,0.035154124935773454
10,20UPGM22601024,MODULE_ASSEMBLY,002,8.016396,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601024/ASSEMBLY/Module_20UPGM22601024_ASSEMBLY_PreProduction_Size_Front_2/Img16764.jpg,0.20084999999999908,0.0721500000000006,0.2134158967837207
11,20UPGM22601051,MODULE_ASSEMBLY,002,8.021396000000001,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601051/ASSEMBLY/Module_20UPGM22601051_ASSEMBLY_PreProduction_Size_Front_1/Img35975.jpg,0.13650000000000162,0.01950000000000074,0.13788582233137847
